date,Interest,Search_Term
2019-01-01,7,AI business ideas
2019-02-01,4,AI business ideas
2019-03-01,6,AI business ideas
2019-04-01,7,AI business ideas
2019-05-01,5,AI business ideas
2019-06-01,0,AI business ideas
2019-07-01,4,AI business ideas
2019-08-01,5,AI business ideas
2019-09-01,0,AI business ideas
2019-10-01,5,AI business ideas
2019-11-01,8,AI business ideas
2019-12-01,6,AI business ideas
2020-01-01,9,AI business ideas
2020-02-01,7,AI business ideas
2020-03-01,6,AI business ideas
2020-04-01,6,AI business ideas
2020-05-01,12,AI business ideas
2020-06-01,12,AI business ideas
2020-07-01,8,AI business ideas
2020-08-01,6,AI business ideas
2020-09-01,6,AI business ideas
2020-10-01,7,AI business ideas
2020-11-01,6,AI business ideas
2020-12-01,6,AI business ideas
2021-01-01,7,AI business ideas
2021-02-01,6,AI business ideas
2021-03-01,6,AI business ideas
2021-04-01,9,AI business ideas
2021-05-01,0,AI business ideas
2021-06-01,7,AI business ideas
2021-07-01,0,AI business ideas
2021-08-01,6,AI business ideas
2021-09-01,8,AI business ideas
2021-10-01,6,AI business ideas
2021-11-01,7,AI business ideas
2021-12-01,5,AI business ideas
2022-01-01,9,AI business ideas
2022-02-01,14,AI business ideas
2022-03-01,8,AI business ideas
2022-04-01,8,AI business ideas
2022-05-01,8,AI business ideas
2022-06-01,10,AI business ideas
2022-07-01,10,AI business ideas
2022-08-01,11,AI business ideas
2022-09-01,11,AI business ideas
2022-10-01,13,AI business ideas
2022-11-01,14,AI business ideas
2022-12-01,28,AI business ideas
2023-01-01,52,AI business ideas
2023-02-01,60,AI business ideas
2023-03-01,49,AI business ideas
2023-04-01,60,AI business ideas
2023-05-01,67,AI business ideas
2023-06-01,78,AI business ideas
2023-07-01,80,AI business ideas
2023-08-01,83,AI business ideas
2023-09-01,80,AI business ideas
2023-10-01,80,AI business ideas
2023-11-01,77,AI business ideas
2023-12-01,72,AI business ideas
2024-01-01,86,AI business ideas
2024-02-01,99,AI business ideas
2024-03-01,92,AI business ideas
2024-04-01,86,AI business ideas
2024-05-01,84,AI business ideas
2024-06-01,73,AI business ideas
2024-07-01,81,AI business ideas
2024-08-01,89,AI business ideas
2024-09-01,100,AI business ideas
2024-10-01,91,AI business ideas
2024-11-01,95,AI business ideas
2024-12-01,90,AI business ideas
2019-01-01,23,Dropshipping business
2019-02-01,23,Dropshipping business
2019-03-01,22,Dropshipping business
2019-04-01,23,Dropshipping business
2019-05-01,21,Dropshipping business
2019-06-01,22,Dropshipping business
2019-07-01,21,Dropshipping business
2019-08-01,22,Dropshipping business
2019-09-01,20,Dropshipping business
2019-10-01,23,Dropshipping business
2019-11-01,23,Dropshipping business
2019-12-01,23,Dropshipping business
2020-01-01,30,Dropshipping business
2020-02-01,27,Dropshipping business
2020-03-01,24,Dropshipping business
2020-04-01,31,Dropshipping business
2020-05-01,44,Dropshipping business
2020-06-01,41,Dropshipping business
2020-07-01,43,Dropshipping business
2020-08-01,42,Dropshipping business
2020-09-01,42,Dropshipping business
2020-10-01,37,Dropshipping business
2020-11-01,39,Dropshipping business
2020-12-01,39,Dropshipping business
2021-01-01,50,Dropshipping business
2021-02-01,47,Dropshipping business
2021-03-01,41,Dropshipping business
2021-04-01,45,Dropshipping business
2021-05-01,43,Dropshipping business
2021-06-01,42,Dropshipping business
2021-07-01,41,Dropshipping business
2021-08-01,43,Dropshipping business
2021-09-01,43,Dropshipping business
2021-10-01,36,Dropshipping business
2021-11-01,35,Dropshipping business
2021-12-01,32,Dropshipping business
2022-01-01,53,Dropshipping business
2022-02-01,46,Dropshipping business
2022-03-01,46,Dropshipping business
2022-04-01,52,Dropshipping business
2022-05-01,55,Dropshipping business
2022-06-01,59,Dropshipping business
2022-07-01,55,Dropshipping business
2022-08-01,60,Dropshipping business
2022-09-01,59,Dropshipping business
2022-10-01,62,Dropshipping business
2022-11-01,67,Dropshipping business
2022-12-01,79,Dropshipping business
2023-01-01,100,Dropshipping business
2023-02-01,79,Dropshipping business
2023-03-01,76,Dropshipping business
2023-04-01,73,Dropshipping business
2023-05-01,71,Dropshipping business
2023-06-01,79,Dropshipping business
2023-07-01,89,Dropshipping business
2023-08-01,87,Dropshipping business
2023-09-01,78,Dropshipping business
2023-10-01,78,Dropshipping business
2023-11-01,75,Dropshipping business
2023-12-01,77,Dropshipping business
2024-01-01,90,Dropshipping business
2024-02-01,83,Dropshipping business
2024-03-01,75,Dropshipping business
2024-04-01,76,Dropshipping business
2024-05-01,70,Dropshipping business
2024-06-01,74,Dropshipping business
2024-07-01,77,Dropshipping business
2024-08-01,84,Dropshipping business
2024-09-01,68,Dropshipping business
2024-10-01,66,Dropshipping business
2024-11-01,66,Dropshipping business
2024-12-01,61,Dropshipping business
2019-01-01,36,E-commerce startup
2019-02-01,47,E-commerce startup
2019-03-01,51,E-commerce startup
2019-04-01,50,E-commerce startup
2019-05-01,45,E-commerce startup
2019-06-01,53,E-commerce startup
2019-07-01,44,E-commerce startup
2019-08-01,30,E-commerce startup
2019-09-01,43,E-commerce startup
2019-10-01,55,E-commerce startup
2019-11-01,48,E-commerce startup
2019-12-01,41,E-commerce startup
2020-01-01,38,E-commerce startup
2020-02-01,50,E-commerce startup
2020-03-01,44,E-commerce startup
2020-04-01,56,E-commerce startup
2020-05-01,93,E-commerce startup
2020-06-01,61,E-commerce startup
2020-07-01,49,E-commerce startup
2020-08-01,51,E-commerce startup
2020-09-01,67,E-commerce startup
2020-10-01,44,E-commerce startup
2020-11-01,45,E-commerce startup
2020-12-01,46,E-commerce startup
2021-01-01,37,E-commerce startup
2021-02-01,55,E-commerce startup
2021-03-01,56,E-commerce startup
2021-04-01,55,E-commerce startup
2021-05-01,39,E-commerce startup
2021-06-01,56,E-commerce startup
2021-07-01,51,E-commerce startup
2021-08-01,48,E-commerce startup
2021-09-01,60,E-commerce startup
2021-10-01,70,E-commerce startup
2021-11-01,60,E-commerce startup
2021-12-01,47,E-commerce startup
2022-01-01,70,E-commerce startup
2022-02-01,87,E-commerce startup
2022-03-01,93,E-commerce startup
2022-04-01,100,E-commerce startup
2022-05-01,78,E-commerce startup
2022-06-01,96,E-commerce startup
2022-07-01,61,E-commerce startup
2022-08-01,77,E-commerce startup
2022-09-01,68,E-commerce startup
2022-10-01,92,E-commerce startup
2022-11-01,68,E-commerce startup
2022-12-01,66,E-commerce startup
2023-01-01,77,E-commerce startup
2023-02-01,85,E-commerce startup
2023-03-01,80,E-commerce startup
2023-04-01,76,E-commerce startup
2023-05-01,64,E-commerce startup
2023-06-01,51,E-commerce startup
2023-07-01,58,E-commerce startup
2023-08-01,63,E-commerce startup
2023-09-01,81,E-commerce startup
2023-10-01,72,E-commerce startup
2023-11-01,85,E-commerce startup
2023-12-01,62,E-commerce startup
2024-01-01,63,E-commerce startup
2024-02-01,92,E-commerce startup
2024-03-01,84,E-commerce startup
2024-04-01,74,E-commerce startup
2024-05-01,69,E-commerce startup
2024-06-01,64,E-commerce startup
2024-07-01,94,E-commerce startup
2024-08-01,74,E-commerce startup
2024-09-01,81,E-commerce startup
2024-10-01,63,E-commerce startup
2024-11-01,85,E-commerce startup
2024-12-01,83,E-commerce startup
2019-01-01,18,Sustainable products business
2019-02-01,9,Sustainable products business
2019-03-01,12,Sustainable products business
2019-04-01,15,Sustainable products business
2019-05-01,12,Sustainable products business
2019-06-01,10,Sustainable products business
2019-07-01,9,Sustainable products business
2019-08-01,15,Sustainable products business
2019-09-01,20,Sustainable products business
2019-10-01,19,Sustainable products business
2019-11-01,16,Sustainable products business
2019-12-01,15,Sustainable products business
2020-01-01,24,Sustainable products business
2020-02-01,17,Sustainable products business
2020-03-01,21,Sustainable products business
2020-04-01,15,Sustainable products business
2020-05-01,19,Sustainable products business
2020-06-01,26,Sustainable products business
2020-07-01,19,Sustainable products business
2020-08-01,18,Sustainable products business
2020-09-01,40,Sustainable products business
2020-10-01,31,Sustainable products business
2020-11-01,30,Sustainable products business
2020-12-01,28,Sustainable products business
2021-01-01,22,Sustainable products business
2021-02-01,45,Sustainable products business
2021-03-01,40,Sustainable products business
2021-04-01,41,Sustainable products business
2021-05-01,40,Sustainable products business
2021-06-01,35,Sustainable products business
2021-07-01,28,Sustainable products business
2021-08-01,33,Sustainable products business
2021-09-01,46,Sustainable products business
2021-10-01,41,Sustainable products business
2021-11-01,43,Sustainable products business
2021-12-01,32,Sustainable products business
2022-01-01,40,Sustainable products business
2022-02-01,69,Sustainable products business
2022-03-01,70,Sustainable products business
2022-04-01,81,Sustainable products business
2022-05-01,64,Sustainable products business
2022-06-01,50,Sustainable products business
2022-07-01,41,Sustainable products business
2022-08-01,42,Sustainable products business
2022-09-01,62,Sustainable products business
2022-10-01,68,Sustainable products business
2022-11-01,54,Sustainable products business
2022-12-01,49,Sustainable products business
2023-01-01,48,Sustainable products business
2023-02-01,78,Sustainable products business
2023-03-01,71,Sustainable products business
2023-04-01,67,Sustainable products business
2023-05-01,49,Sustainable products business
2023-06-01,41,Sustainable products business
2023-07-01,33,Sustainable products business
2023-08-01,41,Sustainable products business
2023-09-01,83,Sustainable products business
2023-10-01,71,Sustainable products business
2023-11-01,47,Sustainable products business
2023-12-01,37,Sustainable products business
2024-01-01,58,Sustainable products business
2024-02-01,94,Sustainable products business
2024-03-01,75,Sustainable products business
2024-04-01,65,Sustainable products business
2024-05-01,63,Sustainable products business
2024-06-01,54,Sustainable products business
2024-07-01,50,Sustainable products business
2024-08-01,60,Sustainable products business
2024-09-01,100,Sustainable products business
2024-10-01,90,Sustainable products business
2024-11-01,89,Sustainable products business
2024-12-01,63,Sustainable products business
2019-01-01,77,Subscription box business
2019-02-01,88,Subscription box business
2019-03-01,84,Subscription box business
2019-04-01,73,Subscription box business
2019-05-01,63,Subscription box business
2019-06-01,69,Subscription box business
2019-07-01,70,Subscription box business
2019-08-01,56,Subscription box business
2019-09-01,73,Subscription box business
2019-10-01,55,Subscription box business
2019-11-01,71,Subscription box business
2019-12-01,59,Subscription box business
2020-01-01,82,Subscription box business
2020-02-01,75,Subscription box business
2020-03-01,61,Subscription box business
2020-04-01,90,Subscription box business
2020-05-01,100,Subscription box business
2020-06-01,80,Subscription box business
2020-07-01,95,Subscription box business
2020-08-01,92,Subscription box business
2020-09-01,83,Subscription box business
2020-10-01,71,Subscription box business
2020-11-01,79,Subscription box business
2020-12-01,70,Subscription box business
2021-01-01,87,Subscription box business
2021-02-01,85,Subscription box business
2021-03-01,70,Subscription box business
2021-04-01,64,Subscription box business
2021-05-01,60,Subscription box business
2021-06-01,60,Subscription box business
2021-07-01,73,Subscription box business
2021-08-01,70,Subscription box business
2021-09-01,60,Subscription box business
2021-10-01,53,Subscription box business
2021-11-01,57,Subscription box business
2021-12-01,49,Subscription box business
2022-01-01,67,Subscription box business
2022-02-01,65,Subscription box business
2022-03-01,64,Subscription box business
2022-04-01,74,Subscription box business
2022-05-01,61,Subscription box business
2022-06-01,50,Subscription box business
2022-07-01,49,Subscription box business
2022-08-01,51,Subscription box business
2022-09-01,50,Subscription box business
2022-10-01,44,Subscription box business
2022-11-01,51,Subscription box business
2022-12-01,51,Subscription box business
2023-01-01,66,Subscription box business
2023-02-01,64,Subscription box business
2023-03-01,52,Subscription box business
2023-04-01,56,Subscription box business
2023-05-01,57,Subscription box business
2023-06-01,55,Subscription box business
2023-07-01,56,Subscription box business
2023-08-01,46,Subscription box business
2023-09-01,51,Subscription box business
2023-10-01,53,Subscription box business
2023-11-01,39,Subscription box business
2023-12-01,48,Subscription box business
2024-01-01,56,Subscription box business
2024-02-01,56,Subscription box business
2024-03-01,48,Subscription box business
2024-04-01,46,Subscription box business
2024-05-01,45,Subscription box business
2024-06-01,55,Subscription box business
2024-07-01,30,Subscription box business
2024-08-01,46,Subscription box business
2024-09-01,35,Subscription box business
2024-10-01,57,Subscription box business
2024-11-01,50,Subscription box business
2024-12-01,36,Subscription box business
2019-01-01,64,Virtual assistant services
2019-02-01,65,Virtual assistant services
2019-03-01,54,Virtual assistant services
2019-04-01,61,Virtual assistant services
2019-05-01,53,Virtual assistant services
2019-06-01,58,Virtual assistant services
2019-07-01,55,Virtual assistant services
2019-08-01,55,Virtual assistant services
2019-09-01,54,Virtual assistant services
2019-10-01,61,Virtual assistant services
2019-11-01,57,Virtual assistant services
2019-12-01,62,Virtual assistant services
2020-01-01,74,Virtual assistant services
2020-02-01,66,Virtual assistant services
2020-03-01,67,Virtual assistant services
2020-04-01,65,Virtual assistant services
2020-05-01,62,Virtual assistant services
2020-06-01,72,Virtual assistant services
2020-07-01,78,Virtual assistant services
2020-08-01,79,Virtual assistant services
2020-09-01,86,Virtual assistant services
2020-10-01,91,Virtual assistant services
2020-11-01,82,Virtual assistant services
2020-12-01,74,Virtual assistant services
2021-01-01,72,Virtual assistant services
2021-02-01,65,Virtual assistant services
2021-03-01,58,Virtual assistant services
2021-04-01,77,Virtual assistant services
2021-05-01,71,Virtual assistant services
2021-06-01,74,Virtual assistant services
2021-07-01,70,Virtual assistant services
2021-08-01,89,Virtual assistant services
2021-09-01,90,Virtual assistant services
2021-10-01,92,Virtual assistant services
2021-11-01,85,Virtual assistant services
2021-12-01,89,Virtual assistant services
2022-01-01,100,Virtual assistant services
2022-02-01,94,Virtual assistant services
2022-03-01,85,Virtual assistant services
2022-04-01,80,Virtual assistant services
2022-05-01,76,Virtual assistant services
2022-06-01,83,Virtual assistant services
2022-07-01,78,Virtual assistant services
2022-08-01,72,Virtual assistant services
2022-09-01,78,Virtual assistant services
2022-10-01,68,Virtual assistant services
2022-11-01,66,Virtual assistant services
2022-12-01,70,Virtual assistant services
2023-01-01,81,Virtual assistant services
2023-02-01,85,Virtual assistant services
2023-03-01,83,Virtual assistant services
2023-04-01,78,Virtual assistant services
2023-05-01,75,Virtual assistant services
2023-06-01,96,Virtual assistant services
2023-07-01,96,Virtual assistant services
2023-08-01,87,Virtual assistant services
2023-09-01,87,Virtual assistant services
2023-10-01,81,Virtual assistant services
2023-11-01,81,Virtual assistant services
2023-12-01,71,Virtual assistant services
2024-01-01,97,Virtual assistant services
2024-02-01,93,Virtual assistant services
2024-03-01,98,Virtual assistant services
2024-04-01,90,Virtual assistant services
2024-05-01,81,Virtual assistant services
2024-06-01,94,Virtual assistant services
2024-07-01,96,Virtual assistant services
2024-08-01,91,Virtual assistant services
2024-09-01,87,Virtual assistant services
2024-10-01,90,Virtual assistant services
2024-11-01,88,Virtual assistant services
2024-12-01,88,Virtual assistant services
2019-01-01,30,Digital marketing agency
2019-02-01,34,Digital marketing agency
2019-03-01,37,Digital marketing agency
2019-04-01,39,Digital marketing agency
2019-05-01,40,Digital marketing agency
2019-06-01,40,Digital marketing agency
2019-07-01,43,Digital marketing agency
2019-08-01,46,Digital marketing agency
2019-09-01,50,Digital marketing agency
2019-10-01,53,Digital marketing agency
2019-11-01,58,Digital marketing agency
2019-12-01,63,Digital marketing agency
2020-01-01,65,Digital marketing agency
2020-02-01,68,Digital marketing agency
2020-03-01,70,Digital marketing agency
2020-04-01,53,Digital marketing agency
2020-05-01,54,Digital marketing agency
2020-06-01,58,Digital marketing agency
2020-07-01,61,Digital marketing agency
2020-08-01,61,Digital marketing agency
2020-09-01,66,Digital marketing agency
2020-10-01,65,Digital marketing agency
2020-11-01,58,Digital marketing agency
2020-12-01,62,Digital marketing agency
2021-01-01,48,Digital marketing agency
2021-02-01,40,Digital marketing agency
2021-03-01,46,Digital marketing agency
2021-04-01,63,Digital marketing agency
2021-05-01,63,Digital marketing agency
2021-06-01,66,Digital marketing agency
2021-07-01,62,Digital marketing agency
2021-08-01,65,Digital marketing agency
2021-09-01,69,Digital marketing agency
2021-10-01,67,Digital marketing agency
2021-11-01,65,Digital marketing agency
2021-12-01,70,Digital marketing agency
2022-01-01,54,Digital marketing agency
2022-02-01,58,Digital marketing agency
2022-03-01,57,Digital marketing agency
2022-04-01,56,Digital marketing agency
2022-05-01,59,Digital marketing agency
2022-06-01,61,Digital marketing agency
2022-07-01,65,Digital marketing agency
2022-08-01,67,Digital marketing agency
2022-09-01,66,Digital marketing agency
2022-10-01,60,Digital marketing agency
2022-11-01,54,Digital marketing agency
2022-12-01,64,Digital marketing agency
2023-01-01,73,Digital marketing agency
2023-02-01,69,Digital marketing agency
2023-03-01,66,Digital marketing agency
2023-04-01,64,Digital marketing agency
2023-05-01,73,Digital marketing agency
2023-06-01,84,Digital marketing agency
2023-07-01,92,Digital marketing agency
2023-08-01,84,Digital marketing agency
2023-09-01,81,Digital marketing agency
2023-10-01,81,Digital marketing agency
2023-11-01,87,Digital marketing agency
2023-12-01,83,Digital marketing agency
2024-01-01,98,Digital marketing agency
2024-02-01,100,Digital marketing agency
2024-03-01,95,Digital marketing agency
2024-04-01,92,Digital marketing agency
2024-05-01,85,Digital marketing agency
2024-06-01,90,Digital marketing agency
2024-07-01,96,Digital marketing agency
2024-08-01,97,Digital marketing agency
2024-09-01,91,Digital marketing agency
2024-10-01,92,Digital marketing agency
2024-11-01,93,Digital marketing agency
2024-12-01,87,Digital marketing agency
2019-01-01,60,Mobile app development
2019-02-01,60,Mobile app development
2019-03-01,67,Mobile app development
2019-04-01,70,Mobile app development
2019-05-01,76,Mobile app development
2019-06-01,85,Mobile app development
2019-07-01,76,Mobile app development
2019-08-01,76,Mobile app development
2019-09-01,77,Mobile app development
2019-10-01,78,Mobile app development
2019-11-01,81,Mobile app development
2019-12-01,93,Mobile app development
2020-01-01,97,Mobile app development
2020-02-01,98,Mobile app development
2020-03-01,100,Mobile app development
2020-04-01,80,Mobile app development
2020-05-01,75,Mobile app development
2020-06-01,78,Mobile app development
2020-07-01,84,Mobile app development
2020-08-01,78,Mobile app development
2020-09-01,87,Mobile app development
2020-10-01,80,Mobile app development
2020-11-01,70,Mobile app development
2020-12-01,76,Mobile app development
2021-01-01,64,Mobile app development
2021-02-01,60,Mobile app development
2021-03-01,61,Mobile app development
2021-04-01,74,Mobile app development
2021-05-01,74,Mobile app development
2021-06-01,74,Mobile app development
2021-07-01,73,Mobile app development
2021-08-01,75,Mobile app development
2021-09-01,78,Mobile app development
2021-10-01,81,Mobile app development
2021-11-01,79,Mobile app development
2021-12-01,87,Mobile app development
2022-01-01,69,Mobile app development
2022-02-01,71,Mobile app development
2022-03-01,77,Mobile app development
2022-04-01,66,Mobile app development
2022-05-01,71,Mobile app development
2022-06-01,70,Mobile app development
2022-07-01,72,Mobile app development
2022-08-01,72,Mobile app development
2022-09-01,71,Mobile app development
2022-10-01,65,Mobile app development
2022-11-01,59,Mobile app development
2022-12-01,65,Mobile app development
2023-01-01,76,Mobile app development
2023-02-01,71,Mobile app development
2023-03-01,67,Mobile app development
2023-04-01,58,Mobile app development
2023-05-01,76,Mobile app development
2023-06-01,82,Mobile app development
2023-07-01,87,Mobile app development
2023-08-01,74,Mobile app development
2023-09-01,77,Mobile app development
2023-10-01,74,Mobile app development
2023-11-01,74,Mobile app development
2023-12-01,76,Mobile app development
2024-01-01,83,Mobile app development
2024-02-01,93,Mobile app development
2024-03-01,87,Mobile app development
2024-04-01,91,Mobile app development
2024-05-01,84,Mobile app development
2024-06-01,84,Mobile app development
2024-07-01,100,Mobile app development
2024-08-01,88,Mobile app development
2024-09-01,87,Mobile app development
2024-10-01,85,Mobile app development
2024-11-01,78,Mobile app development
2024-12-01,81,Mobile app development
